# 移除规则数: 1557（DoH NXDOMAIN 判定）

AI/Copilot.list	DOMAIN,gateway.bingviz.microsoft.net
Apple.list	DOMAIN-SUFFIX,ogameblog.com
Apple.list	DOMAIN-SUFFIX,onsaletrend.com
Apple.list	DOMAIN-SUFFIX,paulsimon-music.com
Apple.list	DOMAIN-SUFFIX,personeelsland.com
Apple.list	DOMAIN-SUFFIX,picknicekicks.net
Apple.list	DOMAIN-SUFFIX,pickshoesclothes.com
Apple.list	DOMAIN-SUFFIX,pocketbiketrader.com
Apple.list	DOMAIN-SUFFIX,rbsgr.com
Apple.list	DOMAIN-SUFFIX,repsneakermall.com
Apple.list	DOMAIN-SUFFIX,salecheaphandbags.com
Apple.list	DOMAIN-SUFFIX,scnshop.cc
Apple.list	DOMAIN-SUFFIX,shoestop2.com
Apple.list	DOMAIN-SUFFIX,shopping-days.net
Apple.list	DOMAIN-SUFFIX,shoppinguheadphones.com
Apple.list	DOMAIN-SUFFIX,sneakerpage.net
Apple.list	DOMAIN-SUFFIX,soso7778.com
Apple.list	DOMAIN-SUFFIX,specialtyheadphones.com
Apple.list	DOMAIN-SUFFIX,sulwerphoto.com
Apple.list	DOMAIN-SUFFIX,sunglassessale2014.com
Apple.list	DOMAIN-SUFFIX,superearsenjoy.com
Apple.list	DOMAIN-SUFFIX,supplybestjerseys.com
Apple.list	DOMAIN-SUFFIX,szwinnertechnology.com
Apple.list	DOMAIN-SUFFIX,takegoto.com
Apple.list	DOMAIN-SUFFIX,theuab.net
Apple.list	DOMAIN-SUFFIX,tradevip1.com
Apple.list	DOMAIN-SUFFIX,unstyle.us
Apple.list	DOMAIN-SUFFIX,v-has.com
Apple.list	DOMAIN-SUFFIX,vipheadphones.com
Apple.list	DOMAIN-SUFFIX,vipshoes2.com
Apple.list	DOMAIN-SUFFIX,wholesale-exporter1.com
Apple.list	DOMAIN-SUFFIX,wholesalediscountpurses.com
Apple.list	DOMAIN-SUFFIX,wholesalefine.com
Apple.list	DOMAIN-SUFFIX,wholesaleonlinemart.com
Apple.list	DOMAIN-SUFFIX,xn--gtvz22d.wang
Game.list	DOMAIN-SUFFIX,4399api.net
Game.list	DOMAIN-SUFFIX,battlecare.net
Game.list	DOMAIN-SUFFIX,bcfmglobal.com
Game.list	DOMAIN-SUFFIX,championshipseriesleague.com
Game.list	DOMAIN-SUFFIX,csgo.wmsj.cn
Game.list	DOMAIN-SUFFIX,dota2.wmsj.cn
Game.list	DOMAIN-SUFFIX,flipnotestudio.com
Game.list	DOMAIN-SUFFIX,gcloudcstest.com
Game.list	DOMAIN-SUFFIX,pokemonwifi.net
Game.list	DOMAIN-SUFFIX,qq163.net
Game.list	DOMAIN-SUFFIX,qqgameapp.com
Game.list	DOMAIN-SUFFIX,scsentry.cn
Game.list	DOMAIN-SUFFIX,steampowered.com.8686c.com
Game.list	DOMAIN-SUFFIX,steamstatic.com.8686c.com
Game.list	DOMAIN-SUFFIX,tcfmglobal.com
Game.list	DOMAIN-SUFFIX,tencent-gcloud.com
Game.list	DOMAIN-SUFFIX,thelegendarystarfy.com
Game.list	DOMAIN-SUFFIX,ulol.com
Game.list	DOMAIN-SUFFIX,umamusume.akamaized.net
Game.list	DOMAIN-SUFFIX,wariowarediy.com
Game.list	DOMAIN-SUFFIX,wcbygame.com
Game.list	DOMAIN-SUFFIX,wiifitu.com
Game.list	DOMAIN-SUFFIX,worldflipper.akamaized.net
Proxy/Cloudflare.list	DOMAIN-SUFFIX,cloudflarechina.cn
Proxy/Dev.list	DOMAIN-SUFFIX,cdn.jetbrains.com
Proxy/Dev.list	DOMAIN-SUFFIX,mecha-mozilla.org
